#Type	Base	Number	Mass	vdWR	covR	Red	Green	Blue
# X is a fall-back element type that should always exist
S3	S	16	32.06	1.85	1.02	255	255	0
SG	S	16	32.06	1.85	1.02	255	255	0
SDIV	S	16	32.06	1.85	1.02	255	255	0
STET	S	16	32.06	1.85	1.02	255	255	0
STRI	S	16	32.06	1.85	1.02	255	255	0
Sh	S	16	32.06	1.85	1.02	255	255	0
17	Cl	17	35.453	1.75	0.99	0	255	0
CL	Cl	17	35.453	1.75	0.99	0	255	0
AR	Ar	18	39.948	1.88	0.98	255	192	203
HV	Ar	18	399.48	1.91	0.0	255	192	203
LT	Ar	18	39.948	1.91	0.0	255	192	203
DZ	Ar	18	39.948	1.91	0.0	255	192	203
19	K	19	39.098	2.75	2.03	255	20	147
20	Ca	20	40.078	2.45	1.74	128	128	128
21	Sc	21	44.956	1.37	1.44	190	190	190
SC	Sc	21	44.956	1.37	1.44	190	190	190
22	Ti	22	47.9	1.37	1.32	190	190	190
TI	Ti	22	47.9	1.37	1.32	190	190	190
23	V	23	50.941	1.37	1.22	190	190	190
24	Cr	24	51.996	1.37	1.18	190	190	190
CR	Cr	24	51.996	1.37	1.18	190	190	190
25	Mn	25	54.938	1.37	1.17	190	190	190
MN	Mn	25	54.938	1.37	1.17	190	190	190
26	Fe	26	55.847	1.456	1.17	255	165	0
FE	Fe	26	55.847	1.456	1.17	255	165	0
27	Co	27	58.933	0.88	1.16	165	42	42
CO	Co	27	58.933	0.88	1.16	165	42	42
28	Ni	28	58.71	0.69	1.15	165	42	42
NI	Ni	28	58.71	0.69	1.15	165	42	42
29	Cu	29	63.54	0.72	1.17	165	42	42
CU	Cu	29	63.54	0.72	1.17	165	42	42
30	Zn	30	65.37	0.74	1.25	165	42	42
ZN	Zn	30	65.37	0.74	1.25	165	42	42
31	Ga	31	69.72	1.37	1.26	165	42	42
GA	Ga	31	69.72	1.37	1.26	165	42	42
GE	Ge	32	72.59	1.95	1.22	85	107	47
35	Br	35	79.904	1.85	1.14	165	42	42
BR	Br	35	79.904	1.85	1.14	165	42	42
37	Rb	37	85.47	1.58	2.16	165	42	42
RB	Rb	37	85.47	1.58	2.16	165	42	42
MO	Mo	42	95.94	1.526	1.30	255	127	80
47	Ag	47	107.87	1.27	1.34	190	190	190
AG	Ag	47	107.87	1.27	1.34	190	190	190
53	I	53	129.905	1.98	1.33	160	32	240
55	Cs	55	132.905	1.84	2.35	165	42	42
CS	Cs	55	132.905	1.84	2.35	165	42	42
79	Au	79	196.967	1.66	1.34	255	215	0
AU	Au	79	196.967	1.66	1.34	255	215	0
# Some oddball types derived from X:
XX	X	0	0.0	1.0	0.0	255	20	147
+	X	0	0.0	1.0	1.38	255	20	147
++	X	0	0.0	1.0	0.9	255	20	147
-	X	0	0.0	1.0	2.0	255	20	147
--	X	0	0.0	1.0	2.0	255	20	147
DUMMY	X	0	0.0	1.0	0.0	255	20	147
RESERV	X	0	0.0	1.0	0.0	255	20	147
BOGUS	X	0	0.0	1.0	0.0	255	20	147
DU	X	0	0.0	1.0	0.0	255	20	147
Tv	X	0	0.0	1.0	0.0	255	20	147
TV	X	0	0.0	1.0	0.0	255	20	147
BQ	X	0	0.0	1.0	0.0	255	20	147
GB	X	0	760.09	1.0	0.0	255	20	147
GBDP	X	0	760.09  10.0	0.0	255	20	147
